"","V1","V2","V3"
"1",-87.5270833343525,32.4453240733353,73.9164505004883
"2",-87.526064815834,32.4231944437059,82.3395843505859
"3",-87.5259722232414,32.4476388881501,75.7874908447266
"4",-87.5258796306488,32.4228240733355,81.7768249511719
"5",-87.5256944454636,32.4493981474093,73.5726013183594
"6",-87.5252314825006,32.4544907400019,75.0831604003906
"7",-87.5249537047228,32.4231944437059,82.7203598022461
"8",-87.5247685195377,32.4545833325945,77.769775390625
"9",-87.5247685195377,32.4493981474093,75.9890594482422
"10",-87.5246759269451,32.4518055548167,72.4890289306641
"11",-87.5244907417599,32.4239351844466,84.8688278198242
"12",-87.5243981491673,32.4232870362985,83.9284057617188
"13",-87.5243055565747,32.4539351844463,76.4224014282227
"14",-87.5243055565747,32.4518055548167,73.1949462890625
"15",-87.5243055565747,32.4516203696315,73.1798858642578
"16",-87.5243055565747,32.4511574066686,73.8526000976562
"17",-87.5242129639821,32.4547685177796,79.8041229248047
"18",-87.5242129639821,32.4523611103723,72.8143005371094
"19",-87.5242129639821,32.4521759251871,73.3523101806641
"20",-87.5242129639821,32.4511574066686,75.4255981445312
"21",-87.5240277787969,32.4552314807426,79.7049713134766
"22",-87.5240277787969,32.4511574066686,75.4255981445312
"23",-87.5240277787969,32.4499537029649,77.1032867431641
"24",-87.5239351862043,32.448564814076,77.430061340332
"25",-87.5238425936117,32.4540277770389,76.8218536376953
"26",-87.5238425936117,32.4523611103723,73.3306198120117
"27",-87.5238425936117,32.4242129622244,83.7141265869141
"28",-87.5237500010192,32.4527314807426,72.9924774169922
"29",-87.5236574084265,32.4548611103722,79.8906631469727
"30",-87.5236574084265,32.4518055548167,76.1032562255859
"31",-87.5236574084265,32.4247685177799,82.506233215332
"32",-87.5235956800315,32.4522685177797,75.1089324951172
"33",-87.523564815834,32.4512499992612,77.6742706298828
"34",-87.523564815834,32.4342129622243,71.7050857543945
"35",-87.523564815834,32.4338425918539,71.9546051025391
"36",-87.5234722232414,32.4525462955575,74.464973449707
"37",-87.5233796306488,32.45513888815,80.016975402832
"38",-87.5233796306488,32.4521759251871,75.7238159179688
"39",-87.5233796306488,32.434953702965,69.4720764160156
"40",-87.5231944454636,32.4547685177796,79.9014587402344
"41",-87.5231944454636,32.4518055548167,76.8570022583008
"42",-87.523101852871,32.4338425918539,72.6443557739258
"43",-87.5230092602784,32.4521759251871,76.2062683105469
"44",-87.5230092602784,32.4236574066688,82.9686050415039
"45",-87.5229166676858,32.4548611103722,79.9208831787109
"46",-87.522638889908,32.4542129622241,78.5408554077148
"47",-87.522638889908,32.4520833325945,75.8271636962891
"48",-87.522638889908,32.4516203696315,78.9053115844727
"49",-87.5225462973154,32.4530092585204,74.8313598632812
"50",-87.5225462973154,32.4527314807426,74.8535003662109
"51",-87.5224537047228,32.4529166659278,74.8313598632812
"52",-87.5224537047228,32.4517129622241,78.9053115844727
"53",-87.5223611121302,32.4536574066685,77.0354843139648
"54",-87.5222685195376,32.4542129622241,78.5523071289062
"55",-87.5222685195376,32.4506944437056,79.6818695068359
"56",-87.5221759269451,32.4553240733352,77.6341171264648
"57",-87.5221759269451,32.4512499992612,80.3745880126953
"58",-87.5220833343525,32.4528240733352,77.3882293701172
"59",-87.5220833343525,32.4456018511131,68.7158660888672
"60",-87.5219907417599,32.4542129622241,79.2044982910156
"61",-87.5219907417599,32.4538425918537,78.4327163696289
"62",-87.5219907417599,32.4457870362982,68.7158660888672
"63",-87.5218981491673,32.4530092585204,77.0572128295898
"64",-87.5218981491673,32.446064814076,68.3203430175781
"65",-87.5218055565747,32.4514351844463,78.5822372436523
"66",-87.5218055565747,32.4462499992612,68.2771682739258
"67",-87.5218055565747,32.444027777039,73.6821441650391
"68",-87.5217129639821,32.4512499992612,79.0441055297852
"69",-87.5216203713895,32.4552314807426,79.8667602539062
"70",-87.5216203713895,32.4492129622241,70.1258773803711
"71",-87.5216203713895,32.4489351844464,70.0501937866211
"72",-87.5216203713895,32.4486574066686,70.0346908569336
"73",-87.5216203713895,32.4475462955575,69.5685119628906
"74",-87.5216203713895,32.4473611103723,69.5385131835938
"75",-87.5216203713895,32.4471759251871,69.3344573974609
"76",-87.5216203713895,32.4464351844464,67.7144012451172
"77",-87.5215277787969,32.4545833325945,81.0890884399414
"78",-87.5215277787969,32.4482870362982,69.7839813232422
"79",-87.5215277787969,32.4480092585205,69.8584442138672
"80",-87.5215277787969,32.4466203696316,68.8595352172852
"81",-87.5215277787969,32.4456944437057,70.4389801025391
"82",-87.5214351862043,32.455601851113,79.3865432739258
"83",-87.5214351862043,32.4542129622241,80.4295806884766
"84",-87.5213425936117,32.4537499992611,79.2650146484375
"85",-87.5213425936117,32.453101851113,78.279426574707
"86",-87.5212500010191,32.4540277770389,81.9107208251953
"87",-87.5212500010191,32.4495833325945,73.0497817993164
"88",-87.5212500010191,32.4461574066686,70.8182144165039
"89",-87.5212500010191,32.4456944437057,72.085693359375
"90",-87.5211574084265,32.4533796288908,78.6449813842773
"91",-87.5211574084265,32.4492129622241,72.2393493652344
"92",-87.5211574084265,32.4489351844464,71.8717727661133
"93",-87.5211574084265,32.4487499992612,71.7322311401367
"94",-87.5211574084265,32.448564814076,71.7322311401367
"95",-87.5211574084265,32.4483796288908,70.5143280029297
"96",-87.5211574084265,32.448101851113,69.9200286865234
"97",-87.5211574084265,32.4479166659279,71.1024017333984
"98",-87.5211574084265,32.4475462955575,70.6011581420898
"99",-87.5211574084265,32.4469907400019,69.7160415649414
"100",-87.5211574084265,32.4468055548168,69.4989013671875
"101",-87.5211574084265,32.4466203696316,70.0475540161133
"102",-87.5211574084265,32.4463425918538,70.8182144165039
"103",-87.5210648158339,32.4553240733352,80.5948028564453
"104",-87.5210648158339,32.4498611103723,73.2439880371094
"105",-87.5209722232413,32.4529166659278,79.4819793701172
"106",-87.5209722232413,32.446064814076,72.9137115478516
"107",-87.5209722232413,32.4456944437057,73.0368347167969
"108",-87.5208796306488,32.4548611103722,82.3830490112305
"109",-87.5208796306488,32.4545833325945,82.5816268920898
"110",-87.5208796306488,32.4492129622241,72.6741638183594
"111",-87.5208796306488,32.4479166659279,71.8690490722656
"112",-87.5207870380562,32.4552314807426,81.8464202880859
"113",-87.5207870380562,32.4468055548168,69.7469177246094
"114",-87.5207870380562,32.4443055548168,73.5748596191406
"115",-87.5206944454636,32.4529166659278,79.9757843017578
"116",-87.5206944454636,32.4501388881501,74.6226501464844
"117",-87.5206944454636,32.4484722214834,72.8887634277344
"118",-87.5206944454636,32.446064814076,74.3273468017578
"119",-87.5206944454636,32.4456018511131,74.2837677001953
"120",-87.520601852871,32.4547685177796,83.1304473876953
"121",-87.520601852871,32.450601851113,75.904052734375
"122",-87.520601852871,32.4492129622241,73.7605133056641
"123",-87.520601852871,32.4487499992612,73.7676544189453
"124",-87.520601852871,32.4482870362982,73.202880859375
