tank: 901 
number of nodes: 1181 
number of edges: 1180 
capital_cost_pump_station: 166000 
ps_OM_cost: 175950 
water_demand: 1.095e-05 
Solution Value: 1.84301e+06 
Solution Value 1: 1.51871e+06 
Solution Value 2: 324300 
diameter[2,0,0.05] 1 
diameter[2,0,0.06] 0 
diameter[2,0,0.08] 0 
diameter[2,0,0.1] 0 
diameter[2,0,0.15] 0 
diameter[2,0,0.2] 0 
diameter[2,0,0.25] 0 
diameter[2,0,0.3] 0 
diameter[2,0,0.35] 0 
diameter[2,0,0.4] 0 
diameter[2,0,0.45] 0 
diameter[2,0,0.5] 0 
diameter[2,0,0.6] 0 
diameter[3,1,0.05] 1 
diameter[3,1,0.06] 0 
diameter[3,1,0.08] 0 
diameter[3,1,0.1] 0 
diameter[3,1,0.15] 0 
diameter[3,1,0.2] 0 
diameter[3,1,0.25] 0 
diameter[3,1,0.3] 0 
diameter[3,1,0.35] 0 
diameter[3,1,0.4] 0 
diameter[3,1,0.45] 0 
diameter[3,1,0.5] 0 
diameter[3,1,0.6] 0 
diameter[4,2,0.05] 1 
diameter[4,2,0.06] 0 
diameter[4,2,0.08] 0 
diameter[4,2,0.1] 0 
diameter[4,2,0.15] 0 
diameter[4,2,0.2] 0 
diameter[4,2,0.25] 0 
diameter[4,2,0.3] 0 
diameter[4,2,0.35] 0 
diameter[4,2,0.4] 0 
diameter[4,2,0.45] 0 
diameter[4,2,0.5] 0 
diameter[4,2,0.6] 0 
diameter[6,3,0.05] 1 
diameter[6,3,0.06] 0 
diameter[6,3,0.08] 0 
diameter[6,3,0.1] 0 
diameter[6,3,0.15] 0 
diameter[6,3,0.2] 0 
diameter[6,3,0.25] 0 
diameter[6,3,0.3] 0 
diameter[6,3,0.35] 0 
diameter[6,3,0.4] 0 
diameter[6,3,0.45] 0 
diameter[6,3,0.5] 0 
diameter[6,3,0.6] 0 
diameter[7,5,0.05] 1 
diameter[7,5,0.06] 0 
diameter[7,5,0.08] 0 
diameter[7,5,0.1] 0 
diameter[7,5,0.15] 0 
diameter[7,5,0.2] 0 
diameter[7,5,0.25] 0 
diameter[7,5,0.3] 0 
diameter[7,5,0.35] 0 
diameter[7,5,0.4] 0 
diameter[7,5,0.45] 0 
diameter[7,5,0.5] 0 
diameter[7,5,0.6] 0 
diameter[7,12,0.05] 1 
diameter[7,12,0.06] 0 
diameter[7,12,0.08] 0 
diameter[7,12,0.1] 0 
diameter[7,12,0.15] 0 
diameter[7,12,0.2] 0 
diameter[7,12,0.25] 0 
diameter[7,12,0.3] 0 
diameter[7,12,0.35] 0 
diameter[7,12,0.4] 0 
diameter[7,12,0.45] 0 
diameter[7,12,0.5] 0 
diameter[7,12,0.6] 0 
diameter[8,4,0.05] 1 
diameter[8,4,0.06] 0 
diameter[8,4,0.08] 0 
diameter[8,4,0.1] 0 
diameter[8,4,0.15] 0 
diameter[8,4,0.2] 0 
diameter[8,4,0.25] 0 
diameter[8,4,0.3] 0 
diameter[8,4,0.35] 0 
diameter[8,4,0.4] 0 
diameter[8,4,0.45] 0 
diameter[8,4,0.5] 0 
diameter[8,4,0.6] 0 
diameter[8,23,0.05] 1 
diameter[8,23,0.06] 0 
diameter[8,23,0.08] 0 
diameter[8,23,0.1] 0 
diameter[8,23,0.15] 0 
diameter[8,23,0.2] 0 
diameter[8,23,0.25] 0 
diameter[8,23,0.3] 0 
diameter[8,23,0.35] 0 
diameter[8,23,0.4] 0 
diameter[8,23,0.45] 0 
diameter[8,23,0.5] 0 
diameter[8,23,0.6] 0 
diameter[10,11,0.05] 1 
diameter[10,11,0.06] 0 
diameter[10,11,0.08] 0 
diameter[10,11,0.1] 0 
diameter[10,11,0.15] 0 
diameter[10,11,0.2] 0 
diameter[10,11,0.25] 0 
diameter[10,11,0.3] 0 
diameter[10,11,0.35] 0 
diameter[10,11,0.4] 0 
diameter[10,11,0.45] 0 
diameter[10,11,0.5] 0 
diameter[10,11,0.6] 0 
diameter[11,6,0.05] 1 
diameter[11,6,0.06] 0 
diameter[11,6,0.08] 0 
diameter[11,6,0.1] 0 
diameter[11,6,0.15] 0 
diameter[11,6,0.2] 0 
diameter[11,6,0.25] 0 
diameter[11,6,0.3] 0 
diameter[11,6,0.35] 0 
diameter[11,6,0.4] 0 
diameter[11,6,0.45] 0 
diameter[11,6,0.5] 0 
diameter[11,6,0.6] 0 
diameter[12,24,0.05] 1 
diameter[12,24,0.06] 0 
diameter[12,24,0.08] 0 
diameter[12,24,0.1] 0 
diameter[12,24,0.15] 0 
diameter[12,24,0.2] 0 
diameter[12,24,0.25] 0 
diameter[12,24,0.3] 0 
diameter[12,24,0.35] 0 
diameter[12,24,0.4] 0 
diameter[12,24,0.45] 0 
diameter[12,24,0.5] 0 
diameter[12,24,0.6] 0 
diameter[13,9,0.05] 1 
diameter[13,9,0.06] 0 
diameter[13,9,0.08] 0 
diameter[13,9,0.1] 0 
diameter[13,9,0.15] 0 
diameter[13,9,0.2] 0 
diameter[13,9,0.25] 0 
diameter[13,9,0.3] 0 
diameter[13,9,0.35] 0 
diameter[13,9,0.4] 0 
diameter[13,9,0.45] 0 
diameter[13,9,0.5] 0 
diameter[13,9,0.6] 0 
diameter[13,14,0.05] 0 
diameter[13,14,0.06] 0 
diameter[13,14,0.08] 1 
diameter[13,14,0.1] 0 
diameter[13,14,0.15] 0 
diameter[13,14,0.2] 0 
diameter[13,14,0.25] 0 
diameter[13,14,0.3] 0 
diameter[13,14,0.35] 0 
diameter[13,14,0.4] 0 
diameter[13,14,0.45] 0 
diameter[13,14,0.5] 0 
diameter[13,14,0.6] 0 
diameter[14,15,0.05] 0 
diameter[14,15,0.06] 0 
diameter[14,15,0.08] 1 
diameter[14,15,0.1] 0 
diameter[14,15,0.15] 0 
diameter[14,15,0.2] 0 
diameter[14,15,0.25] 0 
diameter[14,15,0.3] 0 
diameter[14,15,0.35] 0 
diameter[14,15,0.4] 0 
diameter[14,15,0.45] 0 
diameter[14,15,0.5] 0 
diameter[14,15,0.6] 0 
diameter[15,19,0.05] 0 
diameter[15,19,0.06] 1 
diameter[15,19,0.08] 0 
diameter[15,19,0.1] 0 
diameter[15,19,0.15] 0 
diameter[15,19,0.2] 0 
diameter[15,19,0.25] 0 
diameter[15,19,0.3] 0 
diameter[15,19,0.35] 0 
diameter[15,19,0.4] 0 
diameter[15,19,0.45] 0 
diameter[15,19,0.5] 0 
